<usuário>/<repositório>,Estrelas,Idade (anos),Data de criação,Forks,Watchers,Releases,LOC,SLOC,CLOC
CyC2018/CS-Notes,112129,2.65,2018-02-13T14:56:24Z,36619,5231,0,33368,27410,1704
Snailclimb/JavaGuide,89090,2.42,2018-05-07T13:27:00Z,30829,4450,0,720,617,64
iluwatar/java-design-patterns,61011,6.16,2014-08-09T16:45:18Z,19479,3999,0,109435,47098,50093
MisterBooo/LeetCodeAnimation,59683,1.84,2018-12-06T08:01:22Z,11248,2480,0,420,347,25
elastic/elasticsearch,51518,10.67,2010-02-08T13:20:56Z,17891,2805,33,2490968,1810262,375144
spring-projects/spring-boot,50957,7.97,2012-10-19T15:02:57Z,31599,3462,70,593650,350481,155449
kdn251/interviews,48130,3.65,2017-02-14T18:19:25Z,10178,2579,0,22312,11611,6657
doocs/advanced-java,47685,2.00,2018-10-06T11:38:30Z,13331,2412,0,151,140,0
spring-projects/spring-framework,39570,9.83,2010-12-08T04:04:45Z,27114,3520,188,1258134,707423,367730
google/guava,38959,6.36,2014-05-29T16:23:17Z,8740,2519,29,758721,498094,181694
square/okhttp,38379,8.21,2012-07-23T13:42:55Z,8243,1685,0,97428,68838,17862
square/retrofit,36682,10.09,2010-09-06T21:39:43Z,6680,1622,27,37883,27498,6208
apache/dubbo,33712,8.30,2012-06-19T07:56:02Z,22241,3281,27,289787,181482,69681
PhilJay/MPAndroidChart,31841,6.45,2014-04-25T14:29:47Z,8120,1139,44,44603,26770,9178
TheAlgorithms/Java,30797,4.23,2016-07-16T10:21:02Z,10698,1906,0,19273,11623,5346
bumptech/glide,29994,7.25,2013-07-08T22:52:33Z,5474,1090,35,104279,77328,14295
airbnb/lottie-android,29800,4.00,2016-10-06T22:42:42Z,4759,877,27,31053,24671,2614
Blankj/AndroidUtilCode,27991,4.19,2016-07-30T18:18:32Z,9277,1183,115,74508,47951,18684
zxing/zxing,26326,8.99,2011-10-12T14:07:27Z,8809,1702,27,207084,159959,41077
proxyee-down-org/proxyee-down,25554,2.95,2017-10-25T10:07:27Z,4674,993,49,8711,7678,445
JakeWharton/butterknife,25469,7.59,2013-03-05T08:18:59Z,4750,1094,0,17400,14427,926
crossoverJie/JCSprout,25289,2.81,2017-12-17T09:06:50Z,6941,1687,0,7129,4326,1401
kon9chunkit/GitHub-Chinese-Top-Charts,25263,1.09,2019-09-05T03:01:56Z,3455,1482,0,0,0,0
netty/netty,24873,9.91,2010-11-09T09:22:21Z,11960,1846,0,436045,285066,98212
ityouknow/spring-boot-examples,23756,3.92,2016-11-05T05:32:33Z,10667,1318,0,18283,15871,409
skylot/jadx,23533,7.55,2013-03-18T17:08:21Z,2823,741,13,89027,72649,3799
alibaba/arthas,23193,2.11,2018-08-29T17:15:57Z,5046,1120,27,110949,82727,15300
eugenp/tutorials,23181,7.44,2013-04-29T18:26:36Z,37024,1523,0,1220925,989672,82336
greenrobot/EventBus,22875,8.23,2012-07-16T16:55:40Z,4518,1117,5,9216,6134,1857
alibaba/fastjson,22454,8.93,2011-11-03T06:58:52Z,5978,1397,79,246550,183665,15833
ctripcorp/apollo,22439,4.59,2016-03-04T10:24:23Z,8212,1329,27,110331,86761,6213
NationalSecurityAgency/ghidra,22417,1.60,2019-03-01T03:27:48Z,3052,833,0,2422472,1592933,535772
