<usuário>/<repositório>,Estrelas,Idade (anos),Data de criação,Forks,Watchers,Releases,LOC,SLOC,CLOC
donnemartin/system-design-primer,108679,3.61,2017-02-26T16:15:28Z,19611,5214,0,1077,658,139
public-apis/public-apis,97584,4.55,2016-03-20T23:49:42Z,11861,3023,0,0,0,0
jackfrued/Python-100-Days,93470,2.60,2018-03-01T16:05:52Z,37570,5893,0,18953,14572,2510
TheAlgorithms/Python,88150,4.23,2016-07-16T09:44:01Z,25790,4725,0,53287,25279,20587
vinta/awesome-python,87380,6.28,2014-06-27T21:00:06Z,17189,5357,0,92,52,31
ytdl-org/youtube-dl,71641,9.94,2010-10-31T14:35:07Z,12555,1944,301,146464,121830,10091
tensorflow/models,66538,4.67,2016-02-05T01:15:20Z,42423,3020,13,358887,219371,102168
nvbn/thefuck,56161,5.50,2015-04-08T15:08:04Z,2751,853,15,15565,10029,2583
django/django,52692,8.44,2012-04-28T02:47:18Z,22704,2299,0,403263,286588,59658
pallets/flask,52294,10.50,2010-04-06T11:11:59Z,13818,2281,10,17075,10198,3749
keras-team/keras,49921,5.53,2015-03-28T00:35:42Z,18653,2114,23,27596,19243,3994
httpie/httpie,48309,8.62,2012-02-25T12:39:13Z,3111,1066,34,8801,6110,1472
josephmisiti/awesome-machine-learning,46890,6.23,2014-07-15T19:11:19Z,11766,3406,0,30,18,8
scikit-learn/scikit-learn,42522,10.14,2010-08-17T09:43:38Z,20459,2252,20,295751,158600,100092
scrapy/scrapy,38473,10.63,2010-02-22T02:01:14Z,8840,1815,17,46510,32660,5915
minimaxir/big-list-of-naughty-strings,38021,5.16,2015-08-08T20:57:20Z,1687,848,0,1526,1404,78
ageitgey/face_recognition,36533,3.60,2017-03-03T21:52:39Z,10241,1558,2,2950,1432,908
home-assistant/core,36079,7.06,2013-09-17T07:29:48Z,11738,1201,658,839336,617468,78047
soimort/you-get,35207,8.13,2012-08-20T15:53:36Z,7076,1331,105,14920,11182,1634
huggingface/transformers,34670,1.94,2018-10-29T13:56:00Z,8358,673,37,186790,122400,41022
521xueweihan/HelloGitHub,33891,4.43,2016-05-04T06:24:11Z,5049,2196,9,313,180,94
python/cpython,33863,3.66,2017-02-10T19:23:51Z,16331,1325,0,1521520,1120258,280891
shadowsocks/shadowsocks,32795,8.47,2012-04-20T13:10:49Z,19683,2118,2,6756,4708,1237
deepfakes/faceswap,32601,2.80,2017-12-19T09:44:13Z,10156,1461,3,53887,30561,18898
XX-net/XX-Net,30371,5.73,2015-01-15T09:35:51Z,7875,1782,307,621159,404088,172227
apache/incubator-superset,30346,5.21,2015-07-21T18:55:34Z,6280,1278,15,198922,140836,40397
0voice/interview_internal_reference,29022,1.33,2019-06-10T06:54:19Z,7943,1429,0,0,0,0
testerSunshine/12306,28760,3.39,2017-05-17T12:23:40Z,9094,858,1,4540,3369,830
isocpp/CppCoreGuidelines,28747,5.13,2015-08-19T20:22:52Z,3830,2069,4,6950,3349,2950
floodsung/Deep-Learning-Papers-Reading-Roadmap,28428,3.98,2016-10-14T11:49:48Z,6292,2256,0,135,114,1
certbot/certbot,27243,5.91,2014-11-12T02:52:20Z,2977,842,11,0,0,0
apachecn/AiLearning,27225,3.62,2017-02-25T08:53:02Z,9290,1626,2,25878,11967,11188
pandas-dev/pandas,26798,10.12,2010-08-24T01:37:33Z,11077,1108,65,511710,337362,102010
localstack/localstack,26694,3.95,2016-10-25T23:48:03Z,2049,463,19,37269,26925,4050
getsentry/sentry,26224,10.10,2010-08-30T22:06:41Z,2970,679,60,875558,684320,69211
faif/python-patterns,26004,8.34,2012-06-06T21:02:35Z,5459,1641,0,4309,1832,1602
3b1b/manim,25769,5.54,2015-03-22T18:50:58Z,3323,692,0,294416,252207,10374
google-research/bert,25133,1.95,2018-10-25T22:57:34Z,7080,991,0,5995,3902,1100
fighting41love/funNLP,24945,2.13,2018-08-21T11:20:39Z,7450,1153,0,15,13,2
fxsjy/jieba,24274,8.02,2012-09-29T07:52:01Z,5924,1318,9,195763,194902,357
facebookresearch/Detectron,23722,3.01,2017-10-05T17:32:00Z,5236,1003,0,22867,15766,5004
openai/gym,22316,4.45,2016-04-27T14:59:16Z,6325,1024,5,19488,14038,2903
ycm-core/YouCompleteMe,21926,8.48,2012-04-16T03:12:14Z,2540,596,0,14075,9488,2013
0xAX/linux-insides,21812,5.76,2015-01-03T18:44:57Z,2462,1364,0,77,56,4
tiangolo/fastapi,21706,1.83,2018-12-08T08:21:47Z,1467,400,96,31918,26225,1167
satwikkansal/wtfpython,21667,3.11,2017-08-28T20:22:19Z,1982,674,2,669,450,127
pypa/pipenv,21043,3.72,2017-01-20T00:44:02Z,1551,386,12,330233,204024,94433
donnemartin/interactive-coding-challenges,20935,5.44,2015-04-28T21:36:39Z,3304,926,0,4651,3339,55
hankcs/HanLP,20868,6.00,2014-10-09T06:36:16Z,5680,1149,50,11625,7727,2402
littlecodersh/ItChat,20860,4.72,2016-01-19T07:49:48Z,4883,919,13,5155,4439,548
docker/compose,20833,6.83,2013-12-09T11:40:58Z,3406,692,139,30701,24346,1472
iperov/DeepFaceLab,20120,2.34,2018-06-04T13:10:00Z,4714,794,2,19621,13946,1998
mitmproxy/mitmproxy,20091,10.64,2010-02-16T04:10:13Z,2617,571,34,104356,82528,8393
CorentinJ/Real-Time-Voice-Cloning,19685,1.37,2019-05-26T08:56:15Z,3863,566,0,8585,5479,1818
geekcomputers/Python,18963,8.85,2011-11-30T09:04:08Z,9012,2155,0,0,0,0
encode/django-rest-framework,18933,9.60,2011-03-02T17:13:56Z,5344,606,13,55039,39703,6679
d2l-ai/d2l-zh,18835,3.12,2017-08-23T04:40:24Z,4852,852,10,57732,56954,346
matterport/Mask_RCNN,18500,2.97,2017-10-19T20:28:34Z,8745,615,3,6343,3275,2323
apache/airflow,18466,5.48,2015-04-13T18:04:58Z,7194,715,18,0,0,0
sqlmapproject/sqlmap,18308,8.28,2012-06-26T09:52:15Z,3975,994,5,97182,68667,16411
yunjey/pytorch-tutorial,18253,3.58,2017-03-10T07:41:47Z,5817,573,0,2092,1333,388
swisskyrepo/PayloadsAllTheThings,18250,3.97,2016-10-18T07:29:07Z,5478,1127,1,4736,3418,851
psf/black,18096,2.56,2018-03-14T19:54:45Z,1123,181,4,106323,99434,4245
keon/algorithms,17945,3.89,2016-11-17T22:32:08Z,3665,660,1,21195,11779,6686
google/python-fire,17789,3.63,2017-02-21T21:35:07Z,1095,389,7,11323,5904,3921
eriklindernoren/ML-From-Scratch,17442,3.67,2017-02-05T12:11:23Z,3420,904,0,6905,4172,1516
explosion/spaCy,17324,6.26,2014-07-03T15:15:40Z,3112,561,68,144848,109629,26659
drduh/macOS-Security-and-Privacy-Guide,17287,5.10,2015-08-31T03:36:35Z,1215,763,0,104,71,11
nicolargo/glances,16926,8.84,2011-12-04T08:49:15Z,1105,523,20,84405,37185,39472
sebastianruder/NLP-progress,16851,2.29,2018-06-22T17:43:55Z,2894,1282,3,539,323,121
wangzheng0822/algo,16652,2.04,2018-09-24T05:33:46Z,5359,805,0,44740,32535,6079
StevenBlack/hosts,16178,8.49,2012-04-12T20:22:50Z,1464,564,270,3975,2495,768
tqdm/tqdm,16015,5.35,2015-06-03T13:13:14Z,828,182,91,8432,5493,2009
celery/celery,15935,11.45,2009-04-24T11:31:24Z,3831,500,11,69382,49611,8679
magenta/magenta,15728,4.42,2016-05-05T20:10:40Z,3203,814,47,77802,49450,19019
gto76/python-cheatsheet,15532,2.70,2018-01-25T04:16:53Z,3032,655,0,30066,19999,9464
reddit-archive/reddit,15488,12.30,2008-06-18T23:30:53Z,2846,756,0,223337,156911,35082
numpy/numpy,15059,10.07,2010-09-13T23:02:39Z,4924,558,57,530391,305211,174254
sherlock-project/sherlock,14998,1.79,2018-12-24T14:30:48Z,1571,427,0,1805,808,757
instillai/TensorFlow-Course,14938,2.01,2018-10-02T18:10:12Z,3044,830,1,4201,1729,1563
charlax/professional-programming,14634,4.92,2015-11-07T05:07:52Z,1311,546,0,111,74,2
binux/pyspider,14614,6.63,2014-02-21T19:18:47Z,3530,905,13,20804,15980,1984
ipython/ipython,14412,10.41,2010-05-10T04:46:06Z,4077,818,28,72519,38510,25235
luong-komorebi/Awesome-Linux-Software,14279,4.17,2016-08-06T13:16:29Z,1482,505,0,325,173,91
deezer/spleeter,14274,1.03,2019-09-26T15:40:46Z,1403,330,1,3762,2189,1098
toml-lang/toml,14273,7.62,2013-02-24T03:03:57Z,709,329,8,327,196,70
pytorch/examples,14258,4.12,2016-08-24T03:12:48Z,6674,393,0,6323,4462,835
huge-success/sanic,14156,4.37,2016-05-26T04:38:22Z,1292,449,31,22566,15599,2453
